"©Blast Motion. All rights reserved."
"注： このデータへのアクセスと使用には、Blast Motion利用規約およびエンドユーザー使用許諾契約が適用されます。利用規約およびエンドユーザー使用許諾契約：https://blastmotion.com/terms-of-service/"
メールアドレス:,japanwinterleague202312@gmail.com
チーム:,"Japan Winter League"
競技:,Baseball
報告日:,"11月 25, 2025 12:47:32 午後"
期間:,"11月 11, 2025 - 11月 25, 2025"

日付,バット,利き腕,スイング条件,オンプレーンスコア,体とバットの角度スコア,体の回転による加速スコア,"バットスピード (mph)","体の回転によるバットの加速の大きさ（初動） (g)","オンプレーンの効率 (%)","アッパースイング度 (deg)"," 体とバットの角度（構え） (deg)"," 体とバットの角度（インパクト） (deg)"," バット角度 (deg)","パワー (kW)","スイング時間 (sec)","手の最大スピード (mph)","打球スピード (mph)","打球角度 (deg)","推定飛距離 (feet)"
"11月 24, 2025 02:30:33 午後","Adidas Aero Burner Comp BBCOR",右,"In Game",51,57,50,59.7,10,67,14,92,75,-25,2.9,0.16,16,,,
"11月 24, 2025 02:03:05 午後","Adidas Aero Burner Comp BBCOR",右,"In Game",41,49,53,66.2,11.1,56,13,105,78,-11,3.48,0.16,18.3,,,
"11月 24, 2025 11:25:00 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",61,46,51,61.9,10.2,77,6,109,79,-27,3.34,0.15,18.2,,,
"11月 24, 2025 11:24:40 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",60,42,51,59.5,10.3,77,-2,106,71,-17,3.51,0.13,18.2,,,
"11月 24, 2025 11:24:19 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",62,46,54,65.7,11.5,79,2,109,79,-26,4.16,0.13,19.2,,,
"11月 24, 2025 11:23:44 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",57,43,44,64.1,7.7,74,8,111,78,-19,3.58,0.15,18.2,,,
"11月 24, 2025 10:47:53 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",61,39,43,57.7,7.1,77,2,115,76,-19,2.94,0.15,17.8,,,
"11月 24, 2025 10:47:31 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",60,48,45,62.8,8.2,76,3,111,83,-26,3.3,0.15,18.6,,,
"11月 24, 2025 10:03:28 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",59,42,47,62.9,8.7,75,8,116,81,-24,3.31,0.15,17.9,,,
"11月 23, 2025 03:59:00 午後","Adidas Aero Burner Comp BBCOR",左,"In Game",66,50,66,63.8,16,83,2,81,74,-32,3.6,0.15,19.2,,,
"11月 23, 2025 03:58:11 午後","Adidas Aero Burner Comp BBCOR",左,"In Game",70,38,57,65.8,12.6,87,4,69,70,-44,3.72,0.15,19.8,,,
"11月 23, 2025 03:17:39 午後","Adidas Aero Burner Comp BBCOR",左,"In Game",64,41,61,62.8,14.1,81,7,72,72,-33,3.22,0.16,19.2,,,
"11月 23, 2025 03:17:14 午後","Adidas Aero Burner Comp BBCOR",左,"In Game",58,46,59,60.8,13.3,75,20,79,73,-37,2.74,0.17,19.4,,,
"11月 23, 2025 03:16:52 午後","Adidas Aero Burner Comp BBCOR",左,"In Game",39,69,61,68,14,54,12,91,82,-34,3.73,0.16,18.6,,,
"11月 23, 2025 02:38:51 午後","Adidas Aero Burner Comp BBCOR",左,"In Game",65,60,54,59.2,11.6,82,-8,88,77,-18,3.27,0.14,18.7,,,
"11月 23, 2025 02:38:25 午後","Adidas Aero Burner Comp BBCOR",左,"In Game",62,45,68,58,16.7,79,3,77,72,-31,3.29,0.13,19.6,,,
"11月 23, 2025 02:08:56 午後","Adidas Aero Burner Comp BBCOR",左,"In Game",44,65,64,68.8,15.2,59,12,94,82,-24,4.62,0.13,22.4,,,
"11月 23, 2025 11:49:56 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",62,52,59,58.8,13.4,78,15,79,79,-13,3.19,0.14,17.5,,,
"11月 23, 2025 11:05:08 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",44,41,70,60,17.6,60,7,71,73,-14,2.86,0.16,21.4,,,
"11月 23, 2025 10:25:07 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",62,55,51,57.9,10.4,79,-3,82,78,-21,3.18,0.14,19.9,,,
"11月 23, 2025 10:02:58 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",41,65,58,54.9,12.9,56,-1,92,81,-19,2.77,0.14,19.5,,,
"11月 23, 2025 10:02:44 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",53,62,44,55.5,7.8,68,-1,87,79,-17,2.96,0.13,19,,,
"11月 23, 2025 10:00:45 午前","Adidas Aero Burner Comp BBCOR",左,"In Game",37,46,33,54.6,3.7,52,17,79,71,-26,2.04,0.19,16.3,,,
